Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Attrition,Department,JobRole,MaritalStatus,EngagementScore,LoyaltyScore,IncomePerLevel,Cluster,PCA1,PCA2
41,1102,1,2,1,2,0,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,Sales,Sales Executive,Single,2.3333333333333335,0.14634146341106485,2996.49999850175,1,0.38268627424306867,-0.22261004930159686
49,279,8,1,2,3,1,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,3.0,0.2040816326488963,2564.9999987174997,2,-0.23545754957984547,0.11729660430343608
37,1373,2,2,4,4,1,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1,Research & Development,Laboratory Technician,Single,3.0,0.0,2089.99999791,1,0.42426981844981937,-1.4872369273148194
33,1392,3,4,5,4,0,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,Research & Development,Research Scientist,Married,3.3333333333333335,0.24242424241689625,2908.999997091,1,0.8578016780293827,-0.4583624440323493
27,591,2,1,7,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.3333333333333335,0.07407407407133058,3467.999996532,0,-0.9409771453230756,-0.9750794526296388
32,1005,2,2,8,4,1,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.21874999999316408,3067.9999969319997,1,1.86651831123539,-0.6090103222617663
59,1324,3,3,10,3,0,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,1.6666666666666667,0.016949152542085608,2669.9999973299996,2,-2.452362643136445,-1.1823499918955724
30,1358,24,1,11,4,1,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.0,0.03333333333222222,2692.999997307,2,0.32586474797324555,-1.3288554542271955
38,216,23,3,12,4,1,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,Research & Development,Manufacturing Director,Single,3.0,0.23684210525692523,3175.333332274889,2,0.4312780211863179,0.618070702573353
36,1299,27,3,13,3,1,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,Research & Development,Healthcare Representative,Married,2.6666666666666665,0.19444444443904324,2618.49999869075,1,0.11938068208433991,-0.19290284696524704
35,809,16,3,14,1,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,Research & Development,Laboratory Technician,Married,2.0,0.14285714285306123,2425.9999975739997,0,-1.3045992338644024,-0.7701180966831433
29,153,15,2,15,4,0,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Research & Development,Laboratory Technician,Single,3.6666666666666665,0.31034482757550536,2096.49999895175,1,1.249365951688859,-0.16617809534672195
31,670,26,1,16,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,Research & Development,Research Scientist,Divorced,2.6666666666666665,0.16129032257544224,2910.999997089,1,0.08820826158956124,-0.7723245917553276
34,1346,19,2,18,2,1,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,Research & Development,Laboratory Technician,Divorced,3.0,0.05882352941003461,2660.999997339,1,1.0807070981795857,-1.2147582388688412
